group,species,subspecies,radial_%_shrinkage,tangential_%_shrinkage,volumetric_%_shrinkage
hardwood,alder,red,4.4,7.3,12.6
hardwood,ash,black,5.0,7.8,15.2
hardwood,ash,blue,3.9,6.5,11.7
hardwood,ash,green,4.6,7.1,12.5
hardwood,ash,oregon,4.1,8.1,13.2
hardwood,ash,pumpkin,3.7,6.3,12.0
hardwood,ash,white,4.9,7.8,13.3
hardwood,aspen,bigtooth,3.3,7.9,11.8
hardwood,aspen,quaking,3.5,6.7,11.5
hardwood,basswood,american,6.6,9.3,15.8
hardwood,beech,american,5.5,11.9,17.2
hardwood,birch,alaska paper,6.5,9.9,16.7
hardwood,birch,gray,5.2,9.5,14.7
hardwood,birch,paper,6.3,8.6,16.2
hardwood,birch,river,4.7,9.2,13.5
hardwood,birch,sweet,6.5,9.0,15.6
hardwood,birch,yellow,7.3,9.5,16.8
hardwood,buckeye,yellow,3.6,8.1,12.5
hardwood,butternut,,3.4,6.4,10.6
hardwood,cherry,black,3.7,7.1,11.5
hardwood,chestnut,american,3.4,6.7,11.6
hardwood,cottonwood,balsam poplar,3.0,7.1,10.5
hardwood,cottonwood,black,3.6,8.6,12.4
hardwood,cottonwood,eastern,3.9,9.2,13.9
hardwood,elm,american,4.2,9.5,14.6
hardwood,elm,cedar,4.7,10.2,15.4
hardwood,elm,rock,4.8,8.1,14.9
hardwood,elm,slippery,4.9,8.9,13.8
hardwood,elm,winged,5.3,11.6,17.7
hardwood,hackberry,,4.8,8.9,13.8
hardwood,pecan hickory,,4.9,8.9,13.6
hardwood,true hickory,mockernut,7.7,11.0,17.8
hardwood,true hickory,pignut,7.2,11.5,17.9
hardwood,true hickory,shagbark,7.0,10.5,16.7
hardwood,true hickory,shellbark,7.6,12.6,19.2
hardwood,holly,american,4.8,9.9,16.9
hardwood,honeylocust,,4.2,6.6,10.8
hardwood,locust,black,4.6,7.2,10.2
hardwood,madrone,pacific,5.6,12.4,18.1
hardwood,magnolia,cucumbertree,5.2,8.8,13.6
hardwood,magnolia,southern,5.4,6.6,12.3
